actual,predicted
11960.0,11903.735
11601.0,11650.135
11565.0,11538.295
11600.0,11586.795
11849.0,11840.775
12425.0,12384.495
13119.0,13072.7
13648.0,13674.24
14158.0,14123.67
14369.0,14356.615
14233.0,14314.255
14022.0,14091.625
13939.0,13917.575
13665.0,13706.76
13529.0,13536.595
13585.0,13556.155
13693.0,13671.13
13962.0,13934.48
14344.0,14320.625
14186.0,14269.86
13814.0,13813.95
13226.0,13214.445
12387.0,12449.66
11740.0,11752.665
11209.0,11246.2
10882.0,10918.785
10812.0,10793.2
10789.0,10807.2
10909.0,10920.89
11170.0,11176.435
11727.0,11653.33
12197.0,12227.91
12563.0,12578.97
12849.0,12828.255
13006.0,12988.55
13102.0,13095.115
13075.0,13091.405
12924.0,12950.325
12798.0,12804.41
12820.0,12889.39
13024.0,13061.52
13369.0,13313.87
14244.0,14205.99
14079.0,14186.49
13698.0,13701.3
13155.0,13141.405
12514.0,12468.305
11985.0,11950.04
11730.0,11702.545
11603.0,11610.2
11734.0,11709.435
11902.0,11947.68
12697.0,12711.115
14355.0,14275.3
15533.0,15425.98
15637.0,15612.875
15685.0,15681.54
15731.0,15768.615
15743.0,15743.71
15658.0,15666.83
15660.0,15638.57
15557.0,15539.795
15446.0,15447.535
15430.0,15423.12
15298.0,15339.935
15480.0,15442.42
16187.0,16013.76
15987.0,16042.66
15448.0,15438.27
14439.0,14464.61
13421.0,13413.995
12753.0,12709.745
12287.0,12290.19
12101.0,12071.765
12035.0,12048.945
12351.0,12273.595
13058.0,13107.625
14710.0,14646.36
15936.0,15838.79
15915.0,15900.91
15776.0,15829.145
15715.0,15708.295
15588.0,15575.155
15505.0,15489.645
15510.0,15495.04
15399.0,15410.935
15261.0,15274.205
15148.0,15200.86
15085.0,15123.405
15536.0,15409.035
16222.0,16130.645
16118.0,16115.39
15640.0,15600.015
14621.0,14616.465
13580.0,13577.05
12652.0,12701.16
12211.0,12220.295
11906.0,11919.23
11826.0,11825.79
11979.0,11978.045
12741.0,12717.03
14106.0,14178.32
15258.0,15215.06
15459.0,15414.01
15438.0,15480.665
15506.0,15509.145
