actual,predicted
13705.0,13691.71
13668.0,13682.46
13992.0,13964.355
14773.0,14820.4
16390.0,16314.915
17175.0,17189.52
17039.0,17068.425
16959.0,16987.47
16830.0,16837.455
16452.0,16486.035
16347.0,16304.735
16168.0,16140.915
15926.0,15938.485
15732.0,15710.035
16016.0,16005.035
16783.0,16766.96
17161.0,17145.13
16963.0,17008.42
16707.0,16739.92
16130.0,16174.955
15351.0,15327.53
14269.0,14313.975
13547.0,13606.665
13224.0,13197.45
13090.0,13049.645
13047.0,13052.945
13301.0,13282.415
14090.0,14101.7
15790.0,15729.775
16594.0,16613.4
16440.0,16473.425
16345.0,16351.33
16251.0,16259.26
16072.0,16030.625
15924.0,15947.225
15832.0,15797.93
15697.0,15689.965
15714.0,15636.63
16072.0,16026.105
16773.0,16717.645
16899.0,16932.675
16782.0,16787.595
16479.0,16571.2
15967.0,16015.465
14929.0,14993.93
13910.0,13975.0
13181.0,13164.76
12655.0,12679.68
12660.0,12565.96
12555.0,12608.375
12811.0,12825.61
13625.0,13596.075
15270.0,15212.86
16160.0,16133.83
16119.0,16138.24
16052.0,16092.635
16219.0,16145.365
16074.0,16078.57
16003.0,16011.55
15873.0,15867.85
15771.0,15753.415
15650.0,15624.37
15839.0,15833.52
16542.0,16517.92
16822.0,16819.855
16630.0,16647.875
16303.0,16373.81
15802.0,15813.7
14799.0,14852.31
13771.0,13799.11
13089.0,13121.63
12652.0,12650.31
12381.0,12416.805
12318.0,12322.845
12559.0,12531.925
13303.0,13315.155
14939.0,14855.135
15854.0,15864.985
15842.0,15864.675
15958.0,15925.62
15965.0,15973.86
15806.0,15794.575
15712.0,15725.01
15628.0,15625.2
15444.0,15465.51
15192.0,15209.73
15341.0,15328.87
15931.0,15931.615
15856.0,15978.875
15540.0,15649.385
15252.0,15334.505
14898.0,14901.315
14124.0,14167.465
13167.0,13237.835
12409.0,12441.115
11868.0,11881.885
11606.0,11607.235
11585.0,11546.36
11604.0,11608.585
11901.0,11897.11
12397.0,12414.87
13130.0,13092.825
13816.0,13784.15
14252.0,14261.375
14419.0,14392.88
14392.0,14390.125
14137.0,14206.895
13920.0,13909.74
13714.0,13736.545
13581.0,13587.73
13854.0,13837.315
14598.0,14462.625
14640.0,14654.55
14316.0,14445.39
14143.0,14246.525
13759.0,13755.245
13159.0,13162.85
12471.0,12484.34
11839.0,11867.265
11343.0,11360.76
11095.0,11113.89
11053.0,11022.255
10998.0,11017.03
11306.0,11269.77
11666.0,11656.365
12352.0,12279.675
12989.0,12980.09
13427.0,13413.325
13411.0,13493.605
13399.0,13407.555
13409.0,13374.01
13394.0,13358.27
13183.0,13230.65
13186.0,13179.835
13502.0,13436.27
14467.0,14380.355
14931.0,14877.36
14937.0,14931.69
14814.0,14824.92
14490.0,14397.52
13848.0,13841.555
13160.0,13256.02
12645.0,12591.56
12352.0,12400.21
12189.0,12233.36
12212.0,12208.245
12530.0,12544.09
13369.0,13371.715
14984.0,14947.24
15915.0,15911.05
15966.0,15963.735
16017.0,16048.645
16015.0,16040.48
15776.0,15824.75
15676.0,15695.725
15523.0,15515.86
15226.0,15268.92
15140.0,15096.865
15380.0,15408.255
16321.0,16223.475
16726.0,16634.865
16604.0,16635.92
16360.0,16388.265
15855.0,15889.01
14902.0,14916.665
13871.0,13929.215
13158.0,13165.055
12767.0,12745.305
12539.0,12553.805
12462.0,12462.34
12655.0,12693.075
13484.0,13467.16
15037.0,14976.95
15885.0,15848.765
15803.0,15841.475
15860.0,15841.56
15942.0,15887.205
15784.0,15780.24
15615.0,15677.125
15500.0,15526.69
15257.0,15281.35
15161.0,15130.565
15357.0,15340.565
16153.0,16092.62
16388.0,16331.745
16224.0,16244.465
15980.0,16014.36
15497.0,15478.165
14650.0,14648.725
13661.0,13690.075
12829.0,12941.19
12420.0,12415.53
12192.0,12178.515
12146.0,12127.035
12349.0,12360.935
13180.0,13162.48
14564.0,14524.98
15665.0,15615.19
15943.0,15870.465
16226.0,16122.395
16332.0,16312.75
16350.0,16368.35
16202.0,16217.83
16062.0,16083.005
15836.0,15865.405
15663.0,15669.035
15679.0,15774.26
16202.0,16184.845
16360.0,16367.97
16068.0,16113.635
15811.0,15892.695
15325.0,15359.16
14345.0,14388.6
13165.0,13252.33
12244.0,12312.595
11750.0,11750.83
11480.0,11455.975
11438.0,11432.4
11427.0,11487.165
11657.0,11807.865
12183.0,12181.35
12850.0,12814.225
13747.0,13668.64
14652.0,14497.755
15072.0,14968.05
14980.0,15073.745
14262.0,14635.715
13472.0,13720.755
13036.0,13126.07
12847.0,12848.845
12962.0,12962.305
13618.0,13538.39
14104.0,14025.215
14314.0,14291.865
14500.0,14451.355
14583.0,14410.535
14279.0,14175.79
13784.0,13766.085
13332.0,13279.75
13123.0,13091.86
13091.0,13072.945
13156.0,13147.395
13402.0,13422.455
13919.0,14073.66
14563.0,14708.08
15072.0,15242.465
15427.0,15475.265
15493.0,15466.12
15247.0,15274.145
14915.0,14988.945
14691.0,14692.525
14366.0,14436.74
14027.0,14124.27
13989.0,13899.875
14218.0,14228.96
15132.0,15028.545
15465.0,15452.69
15375.0,15472.64
15231.0,15306.785
15008.0,14956.175
14445.0,14389.17
13781.0,13766.085
13163.0,13183.39
12878.0,12865.35
12648.0,12636.045
12607.0,12612.73
12859.0,12779.015
13113.0,13148.11
13717.0,13693.795
14321.0,14297.735
14807.0,14731.515
15000.0,15008.26
14857.0,14917.355
14443.0,14604.945
14237.0,14271.81
13888.0,13898.35
13793.0,13736.535
13907.0,13821.59
14364.0,14287.27
15281.0,15116.02
15417.0,15439.67
15368.0,15369.85
15237.0,15262.66
14906.0,14882.18
14229.0,14276.34
13428.0,13472.535
12678.0,12718.27
12292.0,12299.31
12015.0,12031.625
11934.0,11951.48
12077.0,12060.81
12253.0,12277.23
12690.0,12698.725
13423.0,13352.635
14082.0,14029.62
14509.0,14398.225
14606.0,14644.6
14716.0,14725.85
14567.0,14629.09
14565.0,14515.485
14347.0,14372.105
14318.0,14247.965
14675.0,14608.065
15910.0,15533.605
16406.0,16274.525
16582.0,16545.89
16447.0,16485.275
16162.0,16105.095
15528.0,15539.175
14837.0,14839.335
14484.0,14388.59
14185.0,14252.075
